
> yaya-prototype@0.1.0 dev:web
> next dev

▲ Next.js 16.2.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.24.74.123:3000
- Environments: .env.local, .env
 GET / 200 in 65ms (next.js: 8ms, application-code: 57ms)
 GET / 200 in 168ms (next.js: 6ms, application-code: 162ms)
 GET / 200 in 143ms (next.js: 6ms, application-code: 136ms)
 GET / 200 in 144ms (next.js: 30ms, application-code: 114ms)
 GET / 200 in 145ms (next.js: 56ms, application-code: 89ms)
 GET / 200 in 146ms (next.js: 83ms, application-code: 62ms)
 GET / 200 in 70ms (next.js: 5ms, application-code: 64ms)
 GET / 200 in 64ms (next.js: 10ms, application-code: 54ms)
 GET / 200 in 34ms (next.js: 10ms, application-code: 24ms)
 GET / 200 in 49ms (next.js: 6ms, application-code: 43ms)
 GET / 200 in 29ms (next.js: 5ms, application-code: 24ms)
 GET / 200 in 32ms (next.js: 4ms, application-code: 28ms)
 GET / 200 in 30ms (next.js: 4ms, application-code: 25ms)
 GET / 200 in 45ms (next.js: 4ms, application-code: 40ms)
 GET / 200 in 30ms (next.js: 5ms, application-code: 25ms)
 GET / 200 in 65ms (next.js: 4ms, application-code: 61ms)
 GET / 200 in 165ms (next.js: 4ms, application-code: 161ms)
 GET / 200 in 136ms (next.js: 8ms, application-code: 128ms)
 GET / 200 in 137ms (next.js: 29ms, application-code: 108ms)
 GET / 200 in 138ms (next.js: 51ms, application-code: 86ms)
 GET / 200 in 139ms (next.js: 81ms, application-code: 58ms)
 GET / 200 in 30ms (next.js: 4ms, application-code: 27ms)
 GET / 200 in 88ms (next.js: 4ms, application-code: 84ms)
 GET / 200 in 58ms (next.js: 7ms, application-code: 52ms)
 GET / 200 in 26ms (next.js: 4ms, application-code: 22ms)
 GET / 200 in 25ms (next.js: 4ms, application-code: 20ms)
 GET / 200 in 25ms (next.js: 4ms, application-code: 20ms)
 GET / 200 in 33ms (next.js: 5ms, application-code: 28ms)
 GET / 200 in 31ms (next.js: 4ms, application-code: 28ms)
 GET / 200 in 27ms (next.js: 5ms, application-code: 22ms)
 GET / 200 in 26ms (next.js: 4ms, application-code: 21ms)
 GET / 200 in 44ms (next.js: 4ms, application-code: 40ms)
 GET / 200 in 33ms (next.js: 4ms, application-code: 29ms)
 GET / 200 in 30ms (next.js: 4ms, application-code: 26ms)
 GET / 200 in 28ms (next.js: 4ms, application-code: 24ms)
 GET / 200 in 180ms (next.js: 85ms, application-code: 95ms)
 GET / 200 in 205ms (next.js: 7ms, application-code: 198ms)
 GET / 200 in 172ms (next.js: 64ms, application-code: 107ms)
 GET / 200 in 176ms (next.js: 9ms, application-code: 167ms)
 GET / 200 in 176ms (next.js: 37ms, application-code: 139ms)
 GET / 200 in 175ms (next.js: 92ms, application-code: 83ms)
 GET / 200 in 77ms (next.js: 5ms, application-code: 72ms)
 GET / 200 in 181ms (next.js: 9ms, application-code: 172ms)
 GET / 200 in 152ms (next.js: 8ms, application-code: 144ms)
 GET / 200 in 153ms (next.js: 34ms, application-code: 119ms)
 GET / 200 in 154ms (next.js: 65ms, application-code: 89ms)
 GET / 200 in 154ms (next.js: 92ms, application-code: 62ms)
 GET / 200 in 179ms (next.js: 4ms, application-code: 175ms)
 GET / 200 in 176ms (next.js: 10ms, application-code: 166ms)
 GET / 200 in 144ms (next.js: 7ms, application-code: 137ms)
 GET / 200 in 144ms (next.js: 31ms, application-code: 114ms)
 GET / 200 in 145ms (next.js: 53ms, application-code: 91ms)
 GET / 200 in 145ms (next.js: 81ms, application-code: 64ms)
 GET / 200 in 144ms (next.js: 7ms, application-code: 137ms)
 GET / 200 in 150ms (next.js: 8ms, application-code: 142ms)
 GET / 200 in 154ms (next.js: 6ms, application-code: 148ms)
 GET / 200 in 154ms (next.js: 55ms, application-code: 99ms)
 GET / 200 in 156ms (next.js: 28ms, application-code: 128ms)
 GET / 200 in 111ms (next.js: 9ms, application-code: 102ms)
 GET / 200 in 172ms (next.js: 7ms, application-code: 165ms)
 GET / 200 in 218ms (next.js: 9ms, application-code: 208ms)
 GET / 200 in 209ms (next.js: 9ms, application-code: 200ms)
 GET / 200 in 208ms (next.js: 60ms, application-code: 148ms)
 GET / 200 in 209ms (next.js: 34ms, application-code: 176ms)
 GET / 200 in 145ms (next.js: 42ms, application-code: 103ms)
 GET / 200 in 142ms (next.js: 8ms, application-code: 134ms)
 GET / 200 in 194ms (next.js: 7ms, application-code: 187ms)
 GET / 200 in 206ms (next.js: 28ms, application-code: 178ms)
 GET / 200 in 208ms (next.js: 7ms, application-code: 201ms)
 GET / 200 in 208ms (next.js: 52ms, application-code: 156ms)
 GET / 200 in 165ms (next.js: 60ms, application-code: 105ms)
 GET / 200 in 166ms (next.js: 6ms, application-code: 160ms)
 GET / 200 in 207ms (next.js: 8ms, application-code: 199ms)
 GET / 200 in 207ms (next.js: 7ms, application-code: 200ms)
 GET / 200 in 209ms (next.js: 29ms, application-code: 179ms)
 GET / 200 in 210ms (next.js: 56ms, application-code: 155ms)
 GET / 200 in 156ms (next.js: 59ms, application-code: 98ms)
 GET / 200 in 151ms (next.js: 7ms, application-code: 144ms)
 GET / 200 in 201ms (next.js: 11ms, application-code: 190ms)
 GET / 200 in 207ms (next.js: 6ms, application-code: 200ms)
 GET / 200 in 208ms (next.js: 33ms, application-code: 175ms)
 GET / 200 in 209ms (next.js: 57ms, application-code: 152ms)
 GET / 200 in 177ms (next.js: 61ms, application-code: 115ms)
 GET / 200 in 180ms (next.js: 9ms, application-code: 170ms)
 GET / 200 in 171ms (next.js: 11ms, application-code: 160ms)
 GET / 200 in 147ms (next.js: 9ms, application-code: 138ms)
 GET / 200 in 147ms (next.js: 36ms, application-code: 112ms)
 GET / 200 in 147ms (next.js: 61ms, application-code: 86ms)
 GET / 200 in 178ms (next.js: 7ms, application-code: 170ms)
 GET / 200 in 174ms (next.js: 6ms, application-code: 169ms)
 GET / 200 in 177ms (next.js: 7ms, application-code: 170ms)
 GET / 200 in 150ms (next.js: 9ms, application-code: 142ms)
 GET / 200 in 150ms (next.js: 41ms, application-code: 109ms)
 GET / 200 in 150ms (next.js: 62ms, application-code: 88ms)
 GET / 200 in 169ms (next.js: 4ms, application-code: 164ms)
 GET / 200 in 140ms (next.js: 7ms, application-code: 134ms)
 GET / 200 in 145ms (next.js: 5ms, application-code: 141ms)
 GET / 200 in 146ms (next.js: 27ms, application-code: 120ms)
 GET / 200 in 147ms (next.js: 48ms, application-code: 99ms)
